股票代號,股票名稱,市場,籌碼診斷,T+1進場價,T+5結算價,T+5報酬率(%),T+10結算價,T+10報酬率(%)
2338,光罩,TSE,【主力點火資】,43.2,42.0,-2.78,33.5,-22.45
2340,台亞,TSE,【散戶套牢資 / 留意斷頭】,32.45,32.4,-0.15,25.05,-22.8
2347,聯強,TSE,【主力點火資】,85.3,87.8,2.93,86.1,0.94
2353,宏��,TSE,【散戶套牢資 / 留意斷頭】,29.6,30.15,1.86,27.9,-5.74
2360,致茂,TSE,【主力點火資】,1850.0,2155.0,16.49,1910.0,3.24
2363,矽統,TSE,【散戶套牢資 / 留意斷頭】,56.7,57.1,0.71,44.8,-20.99
2367,燿華,TSE,【散戶套牢資 / 留意斷頭】,44.55,43.86,-1.56,33.22,-25.45
2376,技嘉,TSE,一般資增,313.41,341.86,9.08,307.14,-2.0
2382,廣達,TSE,【散戶套牢資 / 留意斷頭】,325.5,336.0,3.23,279.0,-14.29
2385,群光,TSE,【散戶套牢資 / 留意斷頭】,102.5,106.0,3.41,104.5,1.95
2388,威盛,TSE,【散戶套牢資 / 留意斷頭】,65.9,73.4,11.38,65.3,-0.91
2393,億光,TSE,【主力點火資】,61.63,62.0,0.6,56.91,-7.67
2399,映泰,TSE,【散戶套牢資 / 留意斷頭】,37.3,38.8,4.02,30.4,-18.5
2401,凌陽,TSE,【散戶套牢資 / 留意斷頭】,27.4,28.2,2.92,23.45,-14.42
2402,毅嘉,TSE,【散戶套牢資 / 留意斷頭】,56.37,57.34,1.71,48.4,-14.14
2404,漢唐,TSE,【主力點火資】,1160.0,1165.0,0.43,1010.0,-12.93
2405,輔信,TSE,【散戶套牢資 / 留意斷頭】,16.6,16.65,0.3,14.8,-10.84
2406,國碩,TSE,【散戶套牢資 / 留意斷頭】,30.75,33.35,8.46,28.35,-7.8
2408,南亞科,TSE,【散戶套牢資 / 留意斷頭】,395.5,426.0,7.71,328.0,-17.07
2409,友達,TSE,【散戶套牢資 / 留意斷頭】,25.36,25.81,1.74,22.2,-12.47
2421,建準,TSE,【散戶套牢資 / 留意斷頭】,127.0,133.5,5.12,120.5,-5.12
2425,承啟,TSE,【主力點火資】,41.25,45.8,11.03,42.7,3.52
2428,興勤,TSE,【散戶套牢資 / 留意斷頭】,264.0,250.5,-5.11,199.0,-24.62
2449,京元電子,TSE,【主力點火資】,271.82,271.34,-0.17,203.5,-25.13
2451,創見,TSE,【散戶套牢資 / 留意斷頭】,230.0,244.5,6.3,269.5,17.17
2457,飛宏,TSE,【散戶套牢資 / 留意斷頭】,24.55,24.6,0.2,20.15,-17.92
2465,麗臺,TSE,一般資增,76.4,82.7,8.25,67.6,-11.52
2474,可成,TSE,【散戶套牢資 / 留意斷頭】,186.5,192.0,2.95,178.5,-4.29
2476,鉅祥,TSE,【主力點火資】,118.5,120.5,1.69,105.5,-10.97
2478,大毅,TSE,【散戶套牢資 / 留意斷頭】,142.5,138.0,-3.16,99.9,-29.89
2482,連宇,TSE,【主力點火資】,18.0,17.7,-1.66,16.0,-11.09
2484,希華,TSE,【主力點火資】,80.7,69.4,-14.0,57.6,-28.62
2486,一詮,TSE,【主力點火資】,235.5,239.0,1.49,171.0,-27.39
2498,宏達電,TSE,【散戶套牢資 / 留意斷頭】,41.05,41.9,2.07,37.85,-7.8
2511,太子,TSE,【主力點火資】,8.23,8.21,-0.23,8.22,-0.08
2515,中工,TSE,一般資增,12.25,12.3,0.41,11.65,-4.9
2520,冠德,TSE,【主力點火資】,35.7,35.1,-1.68,35.1,-1.68
2527,宏璟,TSE,【主力點火資】,48.1,48.7,1.25,40.55,-15.7
2539,櫻花建,TSE,【主力點火資】,40.8,40.4,-0.98,42.95,5.27
2547,日勝生,TSE,【散戶套牢資 / 留意斷頭】,10.3,10.1,-1.94,10.35,0.49
2615,萬海,TSE,【主力點火資】,79.5,84.5,6.29,84.4,6.16
2637,慧洋-KY,TSE,一般資增,79.4,81.3,2.39,78.1,-1.64
2645,長榮航太,TSE,一般資增,216.5,198.0,-8.55,176.0,-18.71
2646,星宇航空,TSE,【主力點火資】,21.2,21.25,0.24,21.55,1.65
2801,彰銀,TSE,【主力點火資】,23.9,24.25,1.46,24.8,3.77
2855,統一證,TSE,【散戶套牢資 / 留意斷頭】,44.15,44.65,1.13,40.1,-9.17
2867,三商壽,TSE,【主力點火資】,8.98,9.18,2.23,9.58,6.68
2881,富邦金,TSE,【散戶套牢資 / 留意斷頭】,124.5,128.5,3.21,124.0,-0.4
2882,國泰金,TSE,【主力點火資】,94.3,97.3,3.18,95.2,0.95
