股票代號,股票名稱,市場,收盤價,5日均線,20日均線,今日融資增減,今日融券增減,近3日融資增減,近3日融券增減,5日均量(張),籌碼診斷,is_squeeze,is_major_fire,is_retail_trap
3630,新鉅科,OTC,26.3,26.17,26.52,20,-18,"(+52, -6, +20)","(-6, +18, -18)",2165,【主力點火資】,False,True,True
6579,研揚,TSE,163.0,157.3,163.88,19,-1,"(-108, +6, +19)","(-8, +2, -1)",961,【主力點火資】,False,True,True
6658,聯策,TSE,143.0,139.1,162.22,19,7,"(-28, -39, +19)","(-5, -2, +7)",518,【主力點火資】,False,True,True
7788,松川精密,TSE,192.5,187.5,226.46,19,-3,"(-95, +80, +19)","(+3, +1, -3)",1076,【主力點火資】,False,True,True
3324,雙鴻,OTC,944.0,878.2,904.7,19,-28,"(-5, -97, +19)","(-13, -2, -28)",2298,【主力點火資】,False,True,False
2497,怡利電,TSE,45.65,44.88,52.85,18,-3,"(+98, -39, +18)","(+2, +4, -3)",1739,【主力點火資】,False,True,True
5258,虹堡,TSE,53.5,50.63,52.21,18,0,"(+34, -9, +18)","(+0, +0, +0)",549,【主力點火資】,False,True,False
6277,宏正,TSE,77.4,77.3,74.68,18,-5,"(-12, +1, +18)","(+0, +0, -5)",527,【主力點火資】,False,True,False
6742,澤米,TSE,43.8,41.87,48.1,18,2,"(-12, -13, +18)","(-71, -3, +2)",728,【主力點火資】,False,True,True
4909,新復興,OTC,36.3,35.47,39.14,18,2,"(-36, -62, +18)","(-9, -12, +2)",549,【主力點火資】,False,True,True
6234,高僑,OTC,32.2,31.92,37.81,18,0,"(-176, -28, +18)","(+0, +2, +0)",726,【主力點火資】,False,True,True
7402,邑錡,OTC,101.0,98.96,117.62,18,6,"(-46, +27, +18)","(-10, +0, +6)",590,【主力點火資】,False,True,True
2369,菱生,TSE,32.0,29.18,35.75,17,56,"(+120, +346, +17)","(-62, -8, +56)",11495,【主力點火資】,False,True,True
2390,云辰,TSE,10.3,10.24,11.44,17,0,"(-80, +11, +17)","(+0, -2, +0)",608,【主力點火資】,False,True,True
3217,優群,OTC,141.0,140.9,151.95,17,-1,"(-32, -1, +17)","(+0, -2, -1)",710,【主力點火資】,False,True,True
3317,尼克森,OTC,65.5,63.6,81.03,17,-1,"(-33, -1, +17)","(+0, +0, -1)",1179,【主力點火資】,False,True,True
3010,華立,TSE,116.0,112.1,116.5,16,-1,"(+0, +15, +16)","(+1, +0, -1)",932,【主力點火資】,False,True,True
4977,眾達-KY,TSE,121.5,116.2,134.38,16,2,"(-320, +47, +16)","(-41, +5, +2)",2296,【主力點火資】,False,True,True
6414,樺漢,TSE,437.5,423.6,423.9,16,-110,"(-508, +349, +16)","(-75, -58, -110)",4462,【主力點火資】,False,True,False
6869,雲豹能源,TSE,65.9,65.7,68.44,16,-1,"(-19, +16, +16)","(-23, -3, -1)",661,【主力點火資】,False,True,True
5388,中磊,TSE,87.4,83.42,85.33,15,-1,"(-41, -39, +15)","(-12, -7, -1)",5840,【主力點火資】,False,True,False
6269,台郡,TSE,54.1,49.92,56.68,15,28,"(-397, -2, +15)","(+17, -39, +28)",4378,【主力點火資】,False,True,True
