股票代號,股票名稱,市場,收盤價,5日均線,20日均線,今日融資增減,今日融券增減,近3日融資增減,近3日融券增減,5日均量(張),籌碼診斷,is_squeeze,is_major_fire,is_retail_trap
4171,瑞基,OTC,19.4,19.01,17.48,41,0,"(-1, +73, +41)","(+0, +0, +0)",1222,【主力點火資】,False,True,False
5386,青雲,OTC,253.5,252.6,269.5,41,3,"(-19, +28, +41)","(+30, -3, +3)",1612,【主力點火資】,False,True,True
2365,昆盈,TSE,30.35,30.03,32.09,35,19,"(+35, -154, +35)","(-2, -14, +19)",4757,【主力點火資】,False,True,True
3661,世芯-KY,TSE,3510.0,3487.0,3978.25,35,-3,"(+81, -19, +35)","(-1, +5, -3)",1574,【主力點火資】,False,True,True
4142,國光生,TSE,17.05,16.96,17.33,35,0,"(+18, -10, +35)","(+0, +0, +0)",1204,【主力點火資】,False,True,True
5498,凱崴,OTC,48.7,48.4,56.31,35,15,"(-68, -3, +35)","(-12, -27, +15)",2273,【主力點火資】,False,True,True
1563,巧新,TSE,61.0,60.86,63.32,34,1,"(+240, +69, +34)","(-1, +0, +1)",1420,【主力點火資】,False,True,True
6196,帆宣,TSE,543.0,538.2,554.8,33,3,"(+4, +39, +33)","(+7, -4, +3)",1590,【主力點火資】,False,True,True
6290,良維,OTC,249.0,238.8,275.69,33,48,"(+157, -53, +33)","(+0, +0, +48)",2449,【主力點火資】,False,True,True
8155,博智,OTC,324.5,303.5,341.91,32,3,"(+11, +155, +32)","(-7, +1, +3)",1464,【主力點火資】,False,True,True
5009,榮剛,OTC,34.1,33.6,33.45,31,-7,"(-14, -68, +31)","(+27, +0, -7)",2389,【主力點火資】,False,True,False
1590,亞德客-KY,TSE,1405.0,1337.06,1326.15,30,0,"(+0, -3, +30)","(+0, +0, +0)",1034,【主力點火資】,False,True,False
6719,力智,TSE,232.5,229.14,256.93,30,-4,"(+64, +137, +30)","(+19, +1, -4)",1980,【主力點火資】,False,True,True
2465,麗臺,TSE,82.7,78.72,78.37,29,0,"(+16, +33, +29)","(-1, +13, +0)",1707,【主力點火資】,False,True,False
4915,致伸,TSE,65.5,65.44,66.9,29,0,"(-54, +9, +29)","(+4, -3, +0)",2724,【主力點火資】,False,True,True
3044,健鼎,TSE,406.0,402.7,450.43,25,-1,"(+6, -59, +25)","(-2, +1, -1)",3079,【主力點火資】,False,True,True
6214,精誠,TSE,141.0,139.7,137.0,25,0,"(+24, -49, +25)","(-6, +0, +0)",1095,【主力點火資】,False,True,False
1514,亞力,TSE,108.0,106.1,116.1,24,-9,"(-66, -15, +24)","(-14, -475, -9)",3126,【主力點火資】,False,True,True
3211,順達,OTC,391.5,381.0,408.45,24,-1,"(+254, -174, +24)","(-15, +18, -1)",4828,【主力點火資】,False,True,True
6177,達麗,TSE,48.5,47.84,46.33,23,0,"(+52, -41, +23)","(-2, +3, +0)",1327,【主力點火資】,False,True,False
2006,東和鋼鐵,TSE,71.2,70.8,69.94,21,0,"(-9, -11, +21)","(+0, +0, +0)",2702,【主力點火資】,False,True,False
4739,康普,TSE,84.7,83.0,98.83,21,4,"(-110, +29, +21)","(+0, +2, +4)",1969,【主力點火資】,False,True,True
3491,昇達科,OTC,1300.0,1266.71,1261.96,20,4,"(+0, +36, +20)","(+0, +0, +4)",2863,【主力點火資】,False,True,False
6138,茂達,OTC,323.0,315.1,357.25,20,-1,"(+60, +38, +20)","(+5, -10, -1)",1615,【主力點火資】,False,True,True
3689,湧德,OTC,110.0,108.5,117.12,19,-1,"(+41, -8, +19)","(+1, -1, -1)",1185,【主力點火資】,False,True,True
2023,燁輝,TSE,13.95,13.77,13.77,18,3,"(-201, -103, +18)","(+0, +3, +3)",1408,【主力點火資】,False,True,False
5309,系統電,OTC,54.2,53.88,60.46,17,2,"(+41, +7, +17)","(+9, -11, +2)",1979,【主力點火資】,False,True,True
8054,安國,OTC,93.0,92.66,102.88,17,-6,"(-10, -121, +17)","(+4, -22, -6)",1802,【主力點火資】,False,True,True
2425,承啟,TSE,45.8,43.06,42.29,16,28,"(+64, +595, +16)","(-1, +37, +28)",4300,【主力點火資】,False,True,False
2464,盟立,TSE,148.5,143.4,160.3,16,-12,"(-26, +308, +16)","(-519, +59, -12)",5770,【主力點火資】,False,True,True
3380,明泰,TSE,30.6,30.15,32.36,16,2,"(-1, +54, +16)","(+7, -6, +2)",2023,【主力點火資】,False,True,True
6284,佳邦,OTC,81.3,81.26,93.54,16,-2,"(+130, -45, +16)","(-8, -2, -2)",2046,【主力點火資】,False,True,True
1609,大亞,TSE,37.8,37.25,38.65,15,1,"(-43, -227, +15)","(+4, +0, +1)",3972,【主力點火資】,False,True,True
5443,均豪,OTC,100.5,98.3,107.86,14,-3,"(+21, -118, +14)","(+50, -25, -3)",2733,【主力點火資】,False,True,True
3443,創意,TSE,4380.0,4089.0,4415.25,13,3,"(+168, +288, +13)","(+18, -2, +3)",1806,【主力點火資】,False,True,True
2302,麗正,TSE,42.45,41.01,46.13,12,-37,"(-14, +360, +12)","(-3, -38, -37)",4392,【主力點火資】,False,True,True
6104,創惟,OTC,93.0,92.04,99.16,12,-5,"(-74, -89, +12)","(+0, +10, -5)",1159,【主力點火資】,False,True,True
2340,台亞,TSE,32.4,32.09,35.58,11,1,"(+135, -69, +11)","(-3, +8, +1)",3725,【主力點火資】,False,True,True
3402,漢科,OTC,143.0,138.92,141.39,11,1,"(-3, -7, +11)","(+0, +0, +1)",1045,【主力點火資】,False,True,False
2880,華南金,TSE,41.25,40.67,38.88,10,-40,"(-18, +12, +10)","(+1, +32, -40)",33011,【主力點火資】,False,True,False
6125,廣運,OTC,51.0,50.6,56.04,10,0,"(-17, -39, +10)","(+0, -27, +0)",1083,【主力點火資】,False,True,True
2027,大成鋼,TSE,44.4,42.08,39.98,9,77,"(+76, -416, +9)","(+2, +136, +77)",22673,【主力點火資】,False,True,False
3056,富華新,TSE,14.15,14.01,14.07,9,4,"(+0, +15, +9)","(+0, +0, +4)",1104,【主力點火資】,False,True,False
3312,弘憶股,TSE,48.35,48.02,54.74,9,-9,"(-4, +4, +9)","(+12, +20, -9)",1198,【主力點火資】,False,True,True
4906,正文,TSE,35.45,35.11,39.19,9,4,"(-1, -9, +9)","(-4, +0, +4)",4587,【主力點火資】,False,True,True
2385,群光,TSE,106.0,104.4,105.3,8,0,"(-42, +110, +8)","(-1, +0, +0)",5447,【主力點火資】,False,True,False
3583,辛耘,TSE,759.0,750.2,815.55,8,0,"(-19, -6, +8)","(-4, -3, +0)",1027,【主力點火資】,False,True,True
1536,和大,TSE,51.6,50.63,51.3,7,-34,"(-30, +67, +7)","(-2, +50, -34)",2138,【主力點火資】,False,True,False
2405,輔信,TSE,16.65,16.56,17.07,7,0,"(+1, -96, +7)","(+0, +8, +0)",1775,【主力點火資】,False,True,True
2641,正德,OTC,17.2,17.07,17.63,7,-24,"(-73, +13, +7)","(+0, +0, -24)",1572,【主力點火資】,False,True,True
2034,允強,TSE,19.55,19.52,19.46,6,0,"(-5, -4, +6)","(+0, +0, +0)",1109,【主力點火資】,False,True,False
2233,宇隆,TSE,218.5,212.5,232.62,6,-2,"(+29, +84, +6)","(+3, +1, -2)",1121,【主力點火資】,False,True,True
5434,崇越,TSE,559.0,555.4,530.36,6,0,"(-5, +24, +6)","(-1, +0, +0)",1788,【主力點火資】,False,True,False
2606,裕民,TSE,63.2,62.54,62.09,5,-2,"(-532, -303, +5)","(+0, -2, -2)",4096,【主力點火資】,False,True,False
4162,智擎,OTC,66.8,66.24,64.07,5,0,"(+116, -15, +5)","(+0, -1, +0)",1013,【主力點火資】,False,True,False
2330,台積電,TSE,2405.0,2365.0,2416.25,4,-17,"(-725, +105, +4)","(-25, +1, -17)",40922,【主力點火資】,False,True,True
2395,研華,TSE,600.0,558.4,517.45,4,11,"(+320, +118, +4)","(-3, -34, +11)",4725,【主力點火資】,False,True,False
6121,新普,OTC,379.0,372.8,399.12,4,0,"(+17, -18, +4)","(+1, +0, +0)",1205,【主力點火資】,False,True,True
3653,健策,TSE,3710.0,3415.75,3314.41,3,9,"(+66, +21, +3)","(+0, +2, +9)",1726,【主力點火資】,False,True,False
2404,漢唐,TSE,1165.0,1157.0,1222.04,2,-1,"(+83, -35, +2)","(+1, +1, -1)",2013,【主力點火資】,False,True,True
6271,同欣電,TSE,200.0,199.8,239.1,1,-6,"(+241, +101, +1)","(+16, +2, -6)",5357,【主力點火資】,False,True,True
2834,臺企銀,TSE,17.9,18.01,17.92,3822,-25,"(-21, +298, +3822)","(-1, -2, -25)",36037,【散戶套牢資 / 留意斷頭】,False,False,True
4958,臻鼎-KY,TSE,506.0,514.7,575.48,2760,724,"(+926, +568, +2760)","(+38, +108, +724)",38314,【散戶套牢資 / 留意斷頭】,False,False,True
1314,中石化,TSE,8.41,8.44,8.85,1225,-13,"(-3977, +423, +1225)","(+185, -34, -13)",45671,【散戶套牢資 / 留意斷頭】,False,False,True
8932,智通*,OTC,115.5,117.1,115.22,868,9,"(+455, -123, +868)","(+11, -9, +9)",4913,一般資增,False,False,False
