股票代號,股票名稱,市場,籌碼診斷,T+1進場價,T+5結算價,T+5報酬率(%),T+10結算價,T+10報酬率(%)
2457,飛宏,TSE,【主力點火資】,28.65,27.65,-3.49,24.05,-16.06
2461,光群雷,TSE,【主力點火資】,17.55,16.95,-3.42,15.9,-9.4
2464,盟立,TSE,一般資增,161.0,166.0,3.11,134.5,-16.46
2467,志聖,TSE,【主力點火資】,613.0,595.0,-2.94,522.0,-14.85
2474,可成,TSE,【散戶套牢資 / 留意斷頭】,196.0,192.5,-1.79,190.0,-3.06
2476,鉅祥,TSE,【主力點火資】,131.0,126.5,-3.44,113.5,-13.36
2478,大毅,TSE,一般資增,191.36,163.5,-14.56,131.0,-31.54
2481,強茂,TSE,【主力點火資】,216.0,192.0,-11.11,139.5,-35.42
2486,一詮,TSE,【主力點火資】,242.0,251.0,3.72,216.5,-10.54
2493,揚博,TSE,一般資增,276.34,257.5,-6.82,217.0,-21.47
2497,怡利電,TSE,【主力點火資】,64.5,61.6,-4.5,53.7,-16.74
2501,國建,TSE,【主力點火資】,22.96,22.3,-2.89,22.3,-2.89
2504,國產,TSE,【散戶套牢資 / 留意斷頭】,32.15,31.2,-2.95,31.3,-2.64
2520,冠德,TSE,【主力點火資】,34.7,35.35,1.87,35.75,3.03
2536,宏普,TSE,【主力點火資】,19.25,19.55,1.56,19.5,1.3
2537,聯上發,TSE,【主力點火資】,11.05,11.0,-0.45,10.95,-0.9
2548,華固,TSE,【主力點火資】,96.67,95.24,-1.48,96.67,0.0
2606,裕民,TSE,【主力點火資】,62.2,63.9,2.73,61.6,-0.96
2615,萬海,TSE,【主力點火資】,77.0,79.2,2.86,80.5,4.55
2634,漢翔,TSE,【主力點火資】,57.62,63.8,10.72,65.0,12.8
2646,星宇航空,TSE,【主力點火資】,21.3,21.2,-0.47,21.3,0.0
2812,台中銀,TSE,【主力點火資】,20.65,20.65,0.0,20.35,-1.45
2820,華票,TSE,【主力點火資】,17.25,16.65,-3.48,16.55,-4.06
2836,高雄銀,TSE,【主力點火資】,12.45,12.55,0.8,12.55,0.8
2838,聯邦銀,TSE,【主力點火資】,22.62,21.65,-4.29,20.4,-9.82
2880,華南金,TSE,【主力點火資】,38.95,39.0,0.13,39.9,2.44
2882,國泰金,TSE,【散戶套牢資 / 留意斷頭】,97.0,96.7,-0.31,94.0,-3.09
2885,元大金,TSE,【主力點火資】,67.8,66.35,-2.15,61.1,-9.89
2887,台新新光金,TSE,【主力點火資】,33.56,34.38,2.44,33.8,0.72
2890,永豐金,TSE,【主力點火資】,41.1,40.2,-2.19,39.7,-3.41
2891,中信金,TSE,【主力點火資】,67.69,66.5,-1.76,61.5,-9.14
